Kategori,Alt Kategori,Ürün Grubu,Komisyon_%_KDV_Dahil
Elektronik,Klima & Isıtıcı,Klima,11.0
Elektronik,Klima & Isıtıcı,Kombi,11.0
Elektronik,Klima & Isıtıcı,Isıtıcı ve Soğutucular,13.0
Elektronik,Oyun & Oyun Konsolları,Konsol Oyunları,12.0
Elektronik,Oyun & Oyun Konsolları,Dijital Oyun,11.7
Elektronik,Oyun & Oyun Konsolları,İkinci El Konsollar,17.25
Elektronik,Oyun & Oyun Konsolları,Playstation ve Xbox,8.0
Elektronik,Oyun & Oyun Konsolları,PSP & Vita,11.0
Elektronik,Tablet Grubu,Çocuk Çizim Tableti,16.0
Elektronik,Tablet Grubu,Tablet,8.0
Elektronik,Telefon,Android Telefonlar,7.0
Elektronik,Telefon,İkinci El Telefonlar,10.0
Elektronik,Telefon,IOS Telefonlar,7.0
Elektronik,Telefon,İthalatçı Garantili,7.5
Elektronik,Telefon,Telsiz Telefon,18.0
Elektronik,Telefon,Tuşlu Telefon,10.0
Elektronik,Telefon,Yenilenmiş Telefon,8.0
Elektronik,Yenilenmiş Bilgisayar,Yenilenmiş Dizüstü,7.2
Elektronik,Yenilenmiş Bilgisayar,Yenilenmiş Masaüstü,9.2
Elektronik,Yenilenmiş Tablet,Yenilenmiş Tablet,7.1
Ev,Aydınlatma,Avize,21.36
Ev,Aydınlatma,Abajur,21.36
Ev,Aydınlatma,Lambader,21.36
Ev,Banyo,Banyo Aksesuarları,20.34
Ev,Banyo,Banyo Tekstili,20.34
Ev,Ev Dekorasyon,Sanat Eseri,11.19
Ev,Ev Dekorasyon,Tablo,21.36
Ev,Ev Dekorasyon,Ayna,21.36
Ev,Ev Dekorasyon,Biblo,21.36
Ev,Ev Gereçleri,Çamaşır Gereçleri,21.36
Ev,Ev Gereçleri,Ev Gereçleri,21.36
Ev,Ev Tekstili,Yatak Odası Tekstili,20.34
Ev,Halı/Kilim,Halı,20.34
Ev,Halı/Kilim,Kilim,20.34
Ev,Halı/Kilim,Paspas,20.34
Ev,Perde,Perde ve Aksesuarları,20.34
Ev,Sofra & Mutfak,Endüstriyel Mutfak,19.32
Ev,Sofra & Mutfak,Mutfak Gereçleri,20.34
Ev,Sofra & Mutfak,Pişirme-Hazırlama,19.32
Ev,Sofra & Mutfak,Sofra Grubu,19.32
Giyim,Giyim,Spor Giyim,21.36
Giyim,Giyim,Üst ve Alt Giyim,21.36
Hobi & Eğlence,Çakmaklar,Çakmaklar,20.34
Hobi & Eğlence,Drone,Drone,12.0
Hobi & Eğlence,Drone,Drone Aksesuarı,18.31
Hobi & Eğlence,Film,Film,10.17
Hobi & Eğlence,Hobi Malzemeleri,Hobi Malzemeleri,20.34
Hobi & Eğlence,Müzik,Diğer Müzik Ekipmanları,14.24
Hobi & Eğlence,Müzik,Gitar,14.24
Hobi & Eğlence,Müzik,Piyano,14.24
Hobi & Eğlence,Müzik,Org,14.24
Hobi & Eğlence,Parti Ürünleri,Parti ve Düğün Ürünleri,20.34
Hobi & Eğlence,Parti Ürünleri,Yılbaşı Ürünleri,20.34
Hobi & Eğlence,Pikap,Pikap & Gramofon,14.24
Hobi & Eğlence,RC Araç,RC Araç ve Aksesuarlar,16.27
Hobi & Eğlence,Yetişkin Hobi,Diğer Hobi ve Oyun,18.31
Hobi & Eğlence,Yetişkin Hobi,Hediyelik ve Oyun,18.31
Kitap,E-Kitap,E-Kitap Aksesuarları,22.0
Kitap,Kitap,Aktivite Kitaplar,12.2
Kitap,Kitap,Çizgi Roman ve Dergi,12.2
Kitap,Kitap,Çocuk Kitapları,12.2
Kitap,Kitap,Diğer Kitaplar,12.2
Kitap,Kitap,Din Kitabı,13.22
Kitap,Kitap,Eğitim Kitapları,13.22
Kitap,Kitap,Roman ve Kişisel Gelişim,12.2
Kırtasiye,Boya Malzemeleri,Sanatsal Malzemeler,16.78
Kırtasiye,Ofis Malzemeleri,Dosyalama ve Kırtasiye,18.31
Kırtasiye,Fotokopi Kağıdı,Fotokopi Kağıtları,8.5
Kırtasiye,Kağıt Ürünleri,Defter ve Ajanda,13.22
Kırtasiye,Kağıt Ürünleri,Diğer Kağıt Ürünleri,15.25
Kırtasiye,Ofis Teknolojileri,Ofis Makineleri,13.73
Kozmetik,Kişisel Bakım,Ağda ve Epilasyon,16.78
Kozmetik,Kişisel Bakım,Ağız Bakım,16.27
Kozmetik,Kişisel Bakım,Banyo & Duş Ürünleri,16.78
Kozmetik,Kişisel Bakım,Diş Macunu,16.27
Kozmetik,Kişisel Bakım,Hijyenik Ped,16.27
Kozmetik,Kişisel Bakım,Islak Tıraş,16.78
Kozmetik,Kişisel Bakım,Kadın Hijyen,16.27
Kozmetik,Kişisel Bakım,Saç Bakım,16.78
Kozmetik,Kişisel Bakım,Elektrikli Diş Fırçası,12.2
Kozmetik,Kişisel Bakım,Tıraş Bıçağı,16.78
Kozmetik,Kozmetik,Cilt Bakım,16.27
Kozmetik,Kozmetik,Makyaj,16.78
Kozmetik,Kozmetik,Parfüm ve Deodorant,16.27
Mobilya,Bahçe Mobilya,Bahçe Mobilyaları,20.5
Mobilya,Bebek & Çocuk,Bebek Odası Mobilya,18.5
Mobilya,Bebek & Çocuk,Çocuk Odası Mobilya,20.5
Mobilya,Mutfak & Banyo,Mutfak ve Banyo Dolapları,20.5
Mobilya,Ofis Mobilya,Ofis Mobilyaları,20.5
Mobilya,Ofis Mobilya,Oyuncu Koltuğu ve Masası,18.5
Mobilya,Salon Mobilya,Salon Mobilyaları,20.5
Mobilya,Takım Mobilya,Mobilya Takımları,18.5
Mobilya,Yatak Odası,Baza,18.5
Mobilya,Yatak Odası,Yatak Odası Mobilyaları,20.5
Otomobil,Akü,Akü ve Takviye Kabloları,13.5
